name,href,address
Cozy Corner,https://www.delivery.com/cities/nyc/categories/restaurant/cozy-corner,1161 2nd Ave (61st Street)
Gracie Mews Diner,https://www.delivery.com/cities/nyc/categories/restaurant/gracie-muse-diner,1550 1st Ave (81st St. & 1st Ave.)
Mamagyro,https://www.delivery.com/cities/nyc/categories/restaurant/mamagyro,1113 Lexington Ave (Between E 77th St & E 78th St)
Wrap & Roll Grill,https://www.delivery.com/cities/nyc/categories/restaurant/wrap-roll-grill,1530 3rd Ave (bet 86th and 87th)
Cascabel Taqueria,https://www.delivery.com/cities/nyc/categories/restaurant/cascabel-taqueria,1556 2nd Ave (Between 80th St & 81st St)
A Asosan Sushi,https://www.delivery.com/cities/nyc/categories/restaurant/a-asosan-sushi,1103 1st Ave (Between 60th & 61st)
Hummus Kitchen Upper East Side,https://www.delivery.com/cities/nyc/categories/restaurant/hummus-kitchen-2nd-ave,1613 2nd Ave (Between 83rd & 84th St.)
Falafel House,https://www.delivery.com/cities/nyc/categories/restaurant/falafel-house,1752 2nd Ave (Between 91st & 92nd)
Atomic Wings,https://www.delivery.com/cities/nyc/categories/restaurant/atomic-wings-3,1830 2nd Ave (94th St & 95th St)
Hi-Life Restaurant,https://www.delivery.com/cities/nyc/categories/restaurant/hi-life-restaurant-lounge,1503 2nd Ave (78th Street)
A La Turka Restaurant,https://www.delivery.com/cities/nyc/categories/restaurant/a-la-turka-restaurant,1417 2nd Ave (73rd and 74th Streets)
Eastside Bagel & Appetizing,https://www.delivery.com/cities/nyc/categories/restaurant/eastside-bagel-appetizing,1496 1st Ave (78th Street)
Calista Superfoods,https://www.delivery.com/cities/nyc/categories/restaurant/spark-lexington-ave,1217 Lexington Ave (Between 82nd & 83rd Street)
88 Fusion,https://www.delivery.com/cities/nyc/categories/restaurant/88-fusion,1698 2nd Ave (87th St & 88th St)
Cilantro,https://www.delivery.com/cities/nyc/categories/restaurant/cilantro-1st-ave,1321 1st Ave (Between 70th and 71st)
Hunter Deli,https://www.delivery.com/cities/nyc/categories/restaurant/hunter-deli,966 Lexington Ave (Between 70th & 71st Street)
Shorty's,https://www.delivery.com/cities/nyc/categories/restaurant/shortys-1st-ave,1678 1st Ave (Between E 87th and 88th St)
Domino's Pizza,https://www.delivery.com/cities/nyc/categories/restaurant/dominos-pizza-e-89th-st,200 E 89th St (89th Street and 3rd Ave)
Hao Dumpling,https://www.delivery.com/cities/nyc/categories/restaurant/lilis-asian-cuisine-sushi-bar,1500 3rd Ave (Between 84th & 85th Street)
Blue 9 Burger (Second Avenue),https://www.delivery.com/cities/nyc/categories/restaurant/second-ave-blue-9-burger,1415 2ND AVE (Between 73rd & 74th St)
Salvo's Pizzabar,https://www.delivery.com/cities/nyc/categories/restaurant/salvos-pizzabar,1477 York Ave (Between E 78th and E 79th St)
John & Tony's,https://www.delivery.com/cities/nyc/categories/restaurant/john-tonys,1097 1st Ave (Corner of 1st Ave. & 60th St.)
PJ Bernstein,https://www.delivery.com/cities/nyc/categories/restaurant/pj-bernstein-deli-restaurant,1215 3rd Ave (Between 70th and 71st Street)
Buddha BBeeQ,https://www.delivery.com/cities/nyc/categories/restaurant/buddha-bbeeq,1750 2nd Ave (East 91st and 92nd Street)
Gourmet Bagel Deli Cafe,https://www.delivery.com/cities/nyc/categories/restaurant/gourmet-bagel-deli-cafe,874 Lexington Ave (East 65th Street and East 66th Street)
China Taste,https://www.delivery.com/cities/nyc/categories/restaurant/china-taste-2nd-ave,1570 2nd Ave (82nd Street)
Korean Express,https://www.delivery.com/cities/nyc/categories/restaurant/korean-express,807 Lexington Ave (E. 62nd St.)
New Sunny East 88,https://www.delivery.com/cities/nyc/categories/restaurant/new-sunny-east-88,1680 1st Ave (87th and 88th St)
Ginza,https://www.delivery.com/cities/nyc/categories/restaurant/ginza,800 Lexington Ave (61st and 62nd Street)
EJ's Luncheonette,https://www.delivery.com/cities/nyc/categories/restaurant/ejs-luncheonette,1271 3rd Ave (Between 73rd St & 74th St)
Delizia 92 Restaurant & Pizza,https://www.delivery.com/cities/nyc/categories/restaurant/delizia-92-restaurant-pizza,1762 2nd Ave (Corner of Second Ave. & 92nd St.)
Timmy's By The River,https://www.delivery.com/cities/nyc/categories/restaurant/timmys-by-the-river,1737 York Ave (Corner of 91st Street)
Roma's Pizza,https://www.delivery.com/cities/nyc/categories/restaurant/romas-pizza,1568 3rd Ave (E 88th & E 89th Street)
Isohama Japanese Restaurant,https://www.delivery.com/cities/nyc/categories/restaurant/isohama-japanese-restaurant,1666 3rd Ave (93rd & 94th)
Piazza Pizza,https://www.delivery.com/cities/nyc/categories/restaurant/piazza-pizza,1530 3rd Ave (Corner of 86th Street)
Aaron's Steaks,https://www.delivery.com/cities/nyc/categories/restaurant/aarons-steaks,1413 2nd Ave (74th Street)
Harvest Chinese & Thai Cuisine,https://www.delivery.com/cities/nyc/categories/restaurant/harvest-chinese-thai-cuisine,1502 1st Ave (78 St & 79 St)
Al Forno Pizzeria,https://www.delivery.com/cities/nyc/categories/restaurant/al-forno-pizzeria,1484 2nd Ave (Between 77th & 78th Street)
La Crosta Gourmet Pizzeria,https://www.delivery.com/cities/nyc/categories/restaurant/la-crosta-gourmet-pizzeria,436 E 72nd St (Between York Avenue & 1st Avenue)
Caffe Buon Gusto,https://www.delivery.com/cities/nyc/categories/restaurant/caffe-buon-gusto-e-77th-st,236 E 77th St (Between 2nd & 3rd Ave)
Wa Jeal,https://www.delivery.com/cities/nyc/categories/restaurant/wa-jeal,1588 2nd Ave (Between 82nd & 83rd Street)
Guo's Garden Chinese Restaurant,https://www.delivery.com/cities/nyc/categories/restaurant/guos-garden-chinese-restaurant,1685 1st Ave (Between 87th and 88th St)
Voila 76 Country Kitchen,https://www.delivery.com/cities/nyc/categories/restaurant/voila-76-country-kitchen-formerly-recharge-,1452 2nd Ave (Between 75th & 76th)
Amura Japanese Restaurant,https://www.delivery.com/cities/nyc/categories/restaurant/amura-japanese-restaurant,1567 2nd Ave (81st Street)
Sabor A Mexico,https://www.delivery.com/cities/nyc/categories/restaurant/sabor-a-mexico,1744 1st Ave (Between E 91st & E 90th St)
Lilli & Loo Asian Cuisine & Sushi Bar,https://www.delivery.com/cities/nyc/categories/restaurant/lilli-and-loo-asian-cuisine-sushi-bar,792 Lexington Ave (Between 61st and 62nd Street)
