name,href,address
Atomic Wings (113th St),http://www.seamless.com/food-delivery/atomic-wings-113th-st-new-york-city.18710.r,2090 Frederick Douglas Blvd
Atomic Wings (2nd Ave & 60th),http://www.seamless.com/food-delivery/atomic-wings-2nd-ave-60th-new-york-city.1482.r,1140 2nd Avenue
Atomic Wings (Midtown),http://www.seamless.com/food-delivery/atomic-wings-midtown-new-york-city.37472.r,528 9th Avenue
Green Cafe (E. 58th),http://www.seamless.com/food-delivery/green-cafe-e-58th-new-york-city.8700.r,36 East 58th St
Indigo Indian Bistro,http://www.seamless.com/food-delivery/indigo-indian-bistro-new-york-city.2483.r,357 East 50th Street
Match 65 Brasserie,http://www.seamless.com/food-delivery/match-65-brasserie-new-york-city.2376.r,29 East 65th St.
China Fun - 2nd Ave,http://www.seamless.com/food-delivery/china-fun-2nd-ave-new-york-city.752.r,1221 Second Avenue
57 Napoli Pizza e Vino,http://www.seamless.com/food-delivery/57-napoli-pizza-e-vino-new-york-city.19716.r,120 East 57th St
Subway (1st Ave and 68th St),http://www.seamless.com/food-delivery/subway-1st-ave-and-68th-st-new-york-city.17341.r,1269 1st Avenue
Subway (1st Ave and 86th St),http://www.seamless.com/food-delivery/subway-1st-ave-and-86th-st-new-york-city.17344.r,1661 1st Avenue
Ayama,http://www.seamless.com/food-delivery/ayama-new-york-city.16332.r,1164 1st Avenue
Bistro 61,http://www.seamless.com/food-delivery/bistro-61-new-york-city.18121.r,1113 1st Avenue
Bounce Sports Lounge,http://www.seamless.com/food-delivery/bounce-sports-lounge-new-york-city.18881.r,1403 2nd Avenue
Buddha BBeeQ,http://www.seamless.com/food-delivery/buddha-bbeeq-new-york-city.18442.r,1750 Second Avenue
Caffe Buon Gusto (UES),http://www.seamless.com/food-delivery/caffe-buon-gusto-ues-new-york-city.7668.r,236 E 77th St
Carino On 2nd,http://www.seamless.com/food-delivery/carino-on-2nd-new-york-city.17515.r,1710 2nd Avenue
Dorrian's Red Hand,http://www.seamless.com/food-delivery/dorrians-red-hand-new-york-city.19847.r,1616 2nd Avenue
Dreamer's Pizza (Third Avenue),http://www.seamless.com/food-delivery/dreamers-pizza-third-avenue-new-york-city.18170.r,1850 3rd Ave.
East Side Bagel & Appetizing,http://www.seamless.com/food-delivery/east-side-bagel-appetizing-new-york-city.16622.r,1496 First Avenue
Enthaice,http://www.seamless.com/food-delivery/enthaice-new-york-city.19387.r,1598 3rd Ave
Gotham Pizza (1st Ave),http://www.seamless.com/food-delivery/gotham-pizza-1st-ave-new-york-city.8187.r,1667 1st Avenue
Hunter Deli,http://www.seamless.com/food-delivery/hunter-deli-new-york-city.16462.r,966 Lexington Ave
La Mia Pizza,http://www.seamless.com/food-delivery/la-mia-pizza-new-york-city.8541.r,1488 1st Ave
Marche du Sud,http://www.seamless.com/food-delivery/marche-du-sud-new-york-city.18155.r,1136 First Avenue
Matsu Sushi (70th Street),http://www.seamless.com/food-delivery/matsu-sushi-70th-street-new-york-city.18839.r,411 East 70th Street
Mini Deli,http://www.seamless.com/food-delivery/mini-deli-new-york-city.18277.r,1266 2nd Ave
Pita Off The Corner,http://www.seamless.com/food-delivery/pita-off-the-corner-new-york-city.6737.r,1764 1st Avenue
Sabor A Mexico Restaurant,http://www.seamless.com/food-delivery/sabor-a-mexico-restaurant-new-york-city.19431.r,1744 First Avenue
Six Happiness UES,http://www.seamless.com/food-delivery/six-happiness-ues-manhattan-consumer.8526.r,1413 2nd Ave
Tal Bagels (86th Street),http://www.seamless.com/food-delivery/tal-bagels-86th-street-new-york-city.16942.r,333 E 86th St
Tenzan (89th Street),http://www.seamless.com/food-delivery/tenzan-89th-street-new-york-city.7061.r,1714 2nd Ave
The Bagel Mill/Cafe Twist,http://www.seamless.com/food-delivery/the-bagel-millcafe-twist-new-york-city.16796.r,1700 1st Ave.
Wrap & Roll Grill,http://www.seamless.com/food-delivery/wrap-roll-grill-new-york-city.6768.r,1530 Third Avenue
Gracie's Corner Diner,http://www.seamless.com/food-delivery/gracies-corner-diner-manhattan-consumer.9294.r,352 East 86th St.
Cafe Evergreen,http://www.seamless.com/food-delivery/cafe-evergreen-new-york-city.1729.r,1367 1st Ave.
Ayama,http://www.seamless.com/food-delivery/ayama-new-york-city.16332.r,1164 1st Avenue
Bistro 61,http://www.seamless.com/food-delivery/bistro-61-new-york-city.18121.r,1113 1st Avenue
Bounce Sports Lounge,http://www.seamless.com/food-delivery/bounce-sports-lounge-new-york-city.18881.r,1403 2nd Avenue
Buddha BBeeQ,http://www.seamless.com/food-delivery/buddha-bbeeq-new-york-city.18442.r,1750 Second Avenue
Caffe Buon Gusto (UES),http://www.seamless.com/food-delivery/caffe-buon-gusto-ues-new-york-city.7668.r,236 E 77th St
